38 Provinsi,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (menggunakan UHH hasil SP2020 LF),,,,,,,,,
,Laki-laki,,,,,Perempuan,,,,
,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024
ACEH,70.72,70.74,70.95,71.04,71.14,74.75,74.77,74.99,75.18,75.37
SUMATERA UTARA,71.01,71.07,71.26,71.44,71.59,75.09,75.23,75.63,76.01,76.32
SUMATERA BARAT,71.33,71.4,71.58,71.75,71.9,75.78,75.91,76.3,76.65,76.97
RIAU,71.43,71.47,71.62,71.77,71.92,76,76.08,76.39,76.71,77.02
JAMBI,71.22,71.25,71.4,71.55,71.7,75.55,75.61,75.93,76.24,76.55
SUMATERA SELATAN,71.26,71.31,71.5,71.68,71.82,75.63,75.74,76.13,76.52,76.81
BENGKULU,70.63,70.69,70.93,71.08,71.21,74.65,74.71,74.97,75.25,75.52
LAMPUNG,71.43,71.48,71.62,71.77,71.91,76,76.09,76.39,76.69,76.99
KEP. BANGKA BELITUNG,71.26,71.31,71.45,71.59,71.73,75.63,75.74,76.02,76.32,76.63
KEP. RIAU,71.82,71.89,72.06,72.27,72.44,76.8,76.95,77.31,77.67,77.92
DKI JAKARTA,72.51,72.58,72.79,73.01,73.16,78.02,78.12,78.43,78.75,78.96
JAWA BARAT,71.78,71.9,72.08,72.27,72.48,76.72,76.97,77.35,77.68,77.98
JAWA TENGAH,72.51,72.61,72.71,72.95,73.13,76.99,77.13,77.25,77.4,77.68
DI YOGYAKARTA,73.22,73.27,73.28,73.48,73.56,76.83,76.97,77.01,77.19,77.82
JAWA TIMUR,71.79,71.84,72.03,72.24,72.4,76.75,76.84,77.24,77.63,77.86
BANTEN,71.73,71.77,71.95,72.16,72.32,76.63,76.69,77.09,77.51,77.75
BALI,71.83,71.88,72.05,72.25,72.43,76.83,76.93,77.28,77.64,77.91
NUSA TENGGARA BARAT,69.24,69.39,69.72,70.07,70.3,73.2,73.36,73.7,74.07,74.31
NUSA TENGGARA TIMUR,68.95,69.08,69.37,69.63,69.88,72.9,73.03,73.33,73.61,73.87
KALIMANTAN BARAT,71.14,71.17,71.31,71.47,71.62,75.38,75.45,75.74,76.07,76.38
KALIMANTAN TENGAH,71.07,71.1,71.23,71.36,71.48,75.23,75.29,75.56,75.83,76.1
KALIMANTAN SELATAN,71.19,71.28,71.46,71.64,71.77,75.48,75.68,76.05,76.42,76.71
KALIMANTAN TIMUR,71.9,72.32,72.5,72.96,73.2,76.05,76.47,76.52,76.62,76.9
KALIMANTAN UTARA,71.28,71.32,71.34,71.36,71.38,75.67,75.76,75.79,75.83,75.87
SULAWESI UTARA,71.19,71.22,71.39,71.56,71.71,75.48,75.55,75.9,76.26,76.57
SULAWESI TENGAH,68.39,68.49,68.57,68.74,68.91,72.33,72.42,72.5,72.68,72.86
SULAWESI SELATAN,71.02,71.08,71.27,71.41,71.55,75.12,75.25,75.64,75.96,76.23
SULAWESI TENGGARA,69.62,69.67,69.76,69.84,69.94,73.6,73.65,73.74,73.83,73.93
GORONTALO,67.91,68.01,68.3,68.58,68.8,71.85,71.95,72.24,72.51,72.74
SULAWESI BARAT,67.99,68.16,68.5,68.84,69.11,71.93,72.1,72.43,72.78,73.06
MALUKU,67.82,67.93,68.24,68.53,68.76,71.77,71.87,72.18,72.46,72.7
MALUKU UTARA,68.14,68.25,68.55,68.84,69.12,72.08,72.19,72.48,72.78,73.07
PAPUA BARAT,65.92,66.01,66.29,66.57,66.53,69.9,70,70.27,70.55,70.51
PAPUA BARAT DAYA,-,-,-,-,68.1,-,-,-,-,72.04
PAPUA,65.65,65.78,66.03,66.23,68.55,69.62,69.76,70.02,70.21,72.48
PAPUA SELATAN,-,-,-,-,66.52,-,-,-,-,70.49
PAPUA TENGAH,-,-,-,-,66.24,-,-,-,-,70.22
PAPUA PEGUNUNGAN,-,-,-,-,65.46,-,-,-,-,69.42
INDONESIA,71.25,71.3,71.46,71.61,71.75,75.6,75.72,76.05,76.37,76.66
