38 Provinsi,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi,,,,
,2020,2021,2022,2023,2024
ACEH,44.58,44.65,44.45,43.5,42.48
SUMATERA UTARA,31.14,31.1,30.94,32.67,31.63
SUMATERA BARAT,43.09,44.25,43.79,43.26,43.29
RIAU,35.07,35.97,35.29,35.78,34.86
JAMBI,31.42,30.74,30.08,31.77,31.89
SUMATERA SELATAN,26.41,26.32,26.31,27.26,26.41
BENGKULU,38.39,38.66,38.15,38.01,37.79
LAMPUNG,23.08,22.64,21.48,21.88,22.29
KEP. BANGKA BELITUNG,14.73,15.23,14.85,18.19,20.14
KEP. RIAU,26.68,27.59,27.47,28.5,30.48
DKI JAKARTA,40.34,40.05,39.56,40.05,41.98
JAWA BARAT,25.75,25.83,26.01,25.57,27.21
JAWA TENGAH,22.62,23.86,23.95,24.78,26.37
DI YOGYAKARTA,74.69,74.9,75.59,74.08,73.9
JAWA TIMUR,29.52,29.96,30.07,31.84,31.85
BANTEN,33.07,32.51,32.67,32.31,32.4
BALI,36.46,36.51,38.46,36.46,38.15
NUSA TENGGARA BARAT,31.28,32.26,32.05,32.99,34.8
NUSA TENGGARA TIMUR,31.28,33.27,32.48,32.65,31.47
KALIMANTAN BARAT,25.36,26.22,26.59,25.74,24.99
KALIMANTAN TENGAH,25.7,26.46,25.84,26.95,27.49
KALIMANTAN SELATAN,27.35,27.97,27.5,28.1,28.06
KALIMANTAN TIMUR,39.16,40.21,40.62,41.21,40.03
KALIMANTAN UTARA,22.71,25.23,25.66,27.07,27.98
SULAWESI UTARA,34.61,34.43,34.36,35.41,34.75
SULAWESI TENGAH,39.32,40.11,39.48,39.71,40.38
SULAWESI SELATAN,42.69,42.35,42.63,42.02,41.83
SULAWESI TENGGARA,47.4,44.77,45.24,44.32,42.95
GORONTALO,37.74,37.32,36.94,36.23,35.68
SULAWESI BARAT,29.44,30.15,29.43,30.27,30.41
MALUKU,48.62,48.36,51.36,48.55,47.91
MALUKU UTARA,43.97,43.63,44.27,43.03,42.22
PAPUA BARAT,35.3,35.8,36.11,33.89,27.52
PAPUA BARAT DAYA,-,-,-,-,36.71
PAPUA,21.87,20.04,20.08,19.99,35.63
PAPUA SELATAN,-,-,-,-,25.07
PAPUA TENGAH,-,-,-,-,15.45
PAPUA PEGUNUNGAN,-,-,-,-,12.23
INDONESIA,30.85,31.19,31.16,31.45,32
,,,,,
Catatan,"Sumber: BPS, Susenas <br />",Catatan: Kelompok umur perguruan tinggi yang digunakan adalah 19-23 tahun,,,
