38 Provinsi,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi,,,,
,2020,2021,2022,2023,2024
ACEH,9.71,9.77,9.79,9.89,9.95
SUMATERA UTARA,9.83,9.88,9.99,10.07,10.18
SUMATERA BARAT,9.34,9.46,9.51,9.59,9.72
RIAU,9.47,9.52,9.54,9.6,9.69
JAMBI,8.97,9.03,9.07,9.16,9.26
SUMATERA SELATAN,8.68,8.78,8.82,8.9,8.98
BENGKULU,9.2,9.26,9.28,9.35,9.4
LAMPUNG,8.51,8.56,8.61,8.72,8.8
KEP. BANGKA BELITUNG,8.49,8.54,8.57,8.66,8.78
KEP. RIAU,10.22,10.38,10.46,10.52,10.65
DKI JAKARTA,11.17,11.2,11.3,11.42,11.49
JAWA BARAT,8.96,9.03,9.14,9.16,9.24
JAWA TENGAH,8.19,8.26,8.38,8.44,8.47
DI YOGYAKARTA,9.95,10.04,10.07,10.16,10.23
JAWA TIMUR,8.31,8.37,8.5,8.53,8.69
BANTEN,9.22,9.29,9.46,9.48,9.55
BALI,9.31,9.45,9.74,9.74,9.87
NUSA TENGGARA BARAT,8.08,8.13,8.31,8.39,8.5
NUSA TENGGARA TIMUR,8.09,8.2,8.25,8.31,8.48
KALIMANTAN BARAT,7.9,8,8.1,8.17,8.28
KALIMANTAN TENGAH,8.95,9.03,9.03,9.07,9.17
KALIMANTAN SELATAN,8.69,8.74,8.89,8.95,9.02
KALIMANTAN TIMUR,9.99,10.09,10.13,10.17,10.22
KALIMANTAN UTARA,9.3,9.4,9.45,9.53,9.58
SULAWESI UTARA,9.74,9.83,9.87,9.94,10.02
SULAWESI TENGAH,9.09,9.18,9.17,9.22,9.28
SULAWESI SELATAN,8.86,8.95,9.09,9.12,9.22
SULAWESI TENGGARA,9.41,9.52,9.59,9.62,9.74
GORONTALO,8.26,8.32,8.39,8.48,8.64
SULAWESI BARAT,8.33,8.39,8.47,8.48,8.56
MALUKU,10.2,10.25,10.37,10.38,10.44
MALUKU UTARA,9.42,9.51,9.6,9.61,9.7
PAPUA BARAT,10,10.03,10.14,10.14,9.87
PAPUA BARAT DAYA,-,-,-,-,10.48
PAPUA,6.96,7.05,7.31,7.34,10.7
PAPUA SELATAN,-,-,-,-,8.99
PAPUA TENGAH,-,-,-,-,6.17
PAPUA PEGUNUNGAN,-,-,-,-,5.1
INDONESIA,8.9,8.97,9.08,9.13,9.22
,,,,,
Catatan,"Sumber: BPS, Susenas",,,,
